# Arlo U. Landolt
# UBVRI PHOTOMETRIC STANDARD STARS AROUND THE CELESTIAL EQUATOR: UPDATES AND ADDITIONS
# Astron.J.137:4186,2009
# https://arxiv.org/abs/0904.0638
#
# FIELD_NAME       Field Name
# RA_2000          alpha (J2000.0)
# DEC_2000         delta$ (J2000.0)
# FOV              FOV
# NS               No. Stars
# MV_MAX, MV_MIN   Range in V
# BV_MIN, BV_MAX   Range in B-V
# UB_MIN, UB_MAX   Range in U-B
# COMMENT          Comments
FIELD_NAME     RA_2000      DEC_2000    FOV     NS   MV_MX   MV_MN   BV_MN   BV_MX   UB_MN   UB_MX   COMMENT
TPhe           00:30:34.5   -46:28:08   15x15   11   10.45   14.94   -0.30   +1.55   -1.22   +1.91   all_stars_except_TPhe_K
SA92           00:55:15.5   +00:47:26   70x70   41   10.60   15.92   +0.32   +1.64   -0.18   +1.99   all_stars_except_those_with_fewer_than_5_measures
#  SA92 SF1    00:55:24.6   +00:39:46   10x10   4    11.62   15.07   +0.43   +1.16   -0.04   +1.11   SA92_342,_259,_260,_263
#  SA92 SF2    00:56:06.7   +00:52:03   10x10   4    13.94   14.96   +0.57   +1.19   -0.04   +1.20   SA92_425,_426,_355,_430
#  SA92 SF3    00:57:01.9   +00:40:21   10x10   3    11.63   12.97   +0.32   +0.86   -0.04   +0.47   SA92_282,_364,_288
F_11           01:04:25.0   +04:12:31   10x10   3    12.06   14.47   -0.24   +0.84   -0.99   +0.45   all_stars
SA93           01:55:01.8   +00:49:52   60x60   4    11.55   12.01   +0.49   +1.08   -0.05   +0.93   all_stars
PG0220+132     02:23:36.9   +13:27:47   10x10   3    14.22   15.77   -0.13   +0.94   -0.92   +0.32   with_caution
PG0231+051     02:33:38.5   +05:19:00   15x15   6    12.77   16.10   -0.32   +1.44   -1.21   +1.28   all_stars
F_24           02:35:17.0   +03:42:54   15x15   4    11.76   13.82   -0.20   +1.13   -1.18   +1.01   all_stars
SA94           02:55:56.1   +00:43:29   70x70   7    11.20   14.29   +0.30   +1.42   -0.05   +1.62   all_stars_except_those_with_fewer_than_5_measures
#  SA94 SF1    02:57:34.1   +00:17:21   10x10   2    11.20   11.72   +0.30   +1.22   +0.11   +1.28   SA94_242,_251
SA95           03:54:26.8   +00:13:48   70x70   44   10.01   16.27   -0.21   +2.00   -1.11   +2.23   all_stars_except_those_with_fewer_than_5_measures
#  SA95 SF1    03:52:41.7   +00:31:20   10x10   2    11.22   11.69   +0.82   +1.29   +0.45   +1.30   SA95_301,_302
#  SA95 SF2    03:53:16.9   +00:16:29   10x10   2    12.63   14.34   +0.29   +1.21   +0.24   +1.24   SA95_190,_193
#  SA95 SF3    03:53:35.0   -00:01:07   10x10   8    10.80   16.27   -0.21   +1.32   -1.11   +1.11   SA95_105,_106,_107,_112,_41,_42,_115,_43
#  SA95 SF4    03:54:38.3   +00:27:30   10x10   3    12.17   14.12   +1.23   +2.00   +1.22   +2.23   SA95_330,_275,_276
#  SA95 SF5    03:55:41.6   +00:08:53   10x10   2    10.94   14.22   +0.45   +1.59   +0.30   +1.56   SA95_231,_149
#  SA95 SF6    03:55:58.9   +00:07:55   10x10   2    10.94   11.49   +0.74   +1.59   +0.17   +1.56   SA95_149,_236
SA96           04:52:17.3   +00:03:50   70x70   6    10.59   13.78   +0.18   +1.34   +0.00   +1.15   all_stars_except_those_with_fewer_than_5_measures
GD_71          05:52:23.2   +15:53:29   15x15   6    12.32   13.63   -0.25   +1.18   -1.11   +0.90   all_stars
SA97           05:57:55.8   +00:05:54   60x60   6     9.78   14.09   +0.20   +1.87   +0.09   +2.10   all_stars_except_those_with_fewer_than_5_measures
#  SA97 SF1    05:57:35.2   +00:17:30   10x10   2     9.78   11.61   +0.20   +1.65   +0.09   +1.71   SA97_345,_351
SA98           06:52:03.5   -00:19:27   30x30   46    9.54   17.80   +0.00   +2.19   -0.30   +2.14   all_stars_except_those_with_fewer_than_5_measures
#  SA98 SF1    06:51:59.0   -00:22:50   10x10   27    9.54   17.80   +0.00   +2.19   -0.10   +2.14   SA98_L1,_L2,_581,_580,_590,_614,_618,_624,_626,_627,_634,_642,_185,_646,_193,_653,_650,_652,_666,_671,_670,_676,_675,_L5,_682,_685,_688
#  SA98 SF2    06:52:21.2   -00:18:38   10x10   22    9.54   17.80   +0.00   +1.91   -0.30   +1.94   SA98_646,_653,_650,_652,_666,_671,_670,_676,_675,_L5,_682,_685,_688,_1082,_1087,_1102,_1112,_1119,_1124,_1122,_724,_733
Ru149          07:24:15.2   -00:32:12   15x15   8    11.48   14.49   -0.13   +1.11   -0.78   +1.02   all_stars
Ru152          07:29:59.9   -02:05:38   15x15   7    11.08   15.02   -0.19   +0.88   -1.08   +0.49   all_stars
SA99           07:54:50.0   -00:33:13   60x60   5     9.40   11.15   -0.16   +1.25   -0.73   +1.29   all_stars
#  SA99 SF1    07:56:00.5   -00:18:46   10x10   2     9.40    9.42   -0.16   -0.07   -0.73   -0.22   SA99_438,_447
SA100          08:53:14.3   -00:37:56   60x60   6     9.15   13.03   +0.16   +1.32   -0.06   +1.50   all_stars_except_those_with_fewer_than_5_measures
#  SA100 SF1   08:53:25.0   -00:40:06   10x10   4     9.15   13.03   +0.48   +1.28   -0.06   +1.50   SA100_162,_267,_269,_280
#  SA100 SF2   08:53:45.0   -00:34:32   10x10   2    11.38   11.80   +0.49   +1.32   +0.00   +1.46   SA100_280,_394
PG0918+029     09:21:32.1   +02:47:01   15x15   5    12.27   14.49   -0.27   +1.04   -1.08   +0.82   all_stars
PG0942-029     09:45:11.5   -03:08:04   15x15   5    13.68   14.95   -0.30   +0.89   -1.18   +0.55   all_stars
SA101          09:56:35.0   -00:29:46   60x60   35    9.74   16.50   +0.26   +1.53   -0.10   +1.38   all_stars_except_those_with_fewer_than_5_measures
#  SA101 SF1   09:54:51.7   -00:23:03   10x10   2    11.25   11.55   +0.49   +1.15   +0.03   +1.06   SA101_315,_316
#  SA101 SF2   09:56:08.6   -00:27:36   10x10   6     9.74   14.92   +0.58   +1.53   -0.03   +1.38   SA101_324,_326,_327,_262,_268,_330
GD_108         10:00:47.8   -07:32:41   10x10   5    13.56   15.06   -0.21   +0.84   -0.94   +0.36   all_stars
PG1047+033     10:50:08.3   -00:01:18   15x15   4    12.45   14.75   -0.29   +0.69   -1.12   +0.17   all_stars
SA102          10:56:04.1   -00:30:46   60x60   2     9.90   10.07   +0.66   +1.08   +0.26   +1.02   all_stars
G163           11:07:44.4   -05:12:50   15x15   7    11.29   14.47   +0.04   +1.50   -0.70   +1.20   all_stars_except_G163-51E
SA103          11:56:30.1   -00:35:35   60x60   3     9.86   11.84   +0.37   +1.09   -0.06   +0.94   all_stars
#  SA103 SF1   11:56:50.2   -00:26:44   10x10   2    10.89   11.84   +0.41   +1.09   -0.06   +0.94   SA103_626,_526
SA104          12:43:10.2   -00:33:59   70x70   34    9.37   16.09   +0.44   +1.59   -0.23   +1.67   all_stars_except_those_with_less_than_5_measures
#  SA104 SF1   12:43:07.9   -00:30:50   10x10   6     9.71   16.05   +0.48   +1.28   -0.04   +1.25   SA104_457,_456,_460,_461,_350,_470
PG1323-086     13:25:52.4   -08:49:47   15x15   5    12.08   14.00   -0.14   +0.76   -0.68   +0.27   all_stars_except_PG1323-086A_=_NSV_19792
SA105          13:37:43.6   -00:20:08   70x70   3    10.27   12.54   +0.25   +1.42   -0.25   +1.22   all_stars
PG1407-013     14:10:30.0   -01:27:40   15x15   6    12.46   15.18   -0.26   +1.15   -1.13   +1.05   all_stars
SA106          14:42:10.5   -00:17:41   70x70   4     9.34   11.60   +0.33   +1.36   -0.05   +1.58   all_stars_except_SA106-1024_=_IP_Vir
PG1525-071     15:28:14.0   -07:15:35   15x15   5    13.51   16.39   -0.21   +1.12   -1.18   +1.07   all_stars
SA107          15:38:48.6   -00:13:29   70x70   30    9.04   16.05   +0.12   +1.60   -0.12   +1.75   all_stars_except_those_with_fewer_than_5_measures
#  SA107 SF1   15:38:46.8   -00:20:48   10x10   5    11.68   14.91   +0.79   +1.32   +0.35   +1.38   SA107_456,_457,_458,_592,_459
#  SA107 SF2   15:39:04.6   -00:15:19   10x10   5    11.85   14.88   +0.50   +1.41   +0.05   +1.38   SA107_592,_599,_600,_601,_602
#  SA107 SF3   15:40:11.1   -00:19:19   10x10   3    11.31   13.47   +0.78   +1.24   +0.23   +1.30   SA107_626,_627,_484
PG1633+099     16:35:34.6   +09:48:23   15x15   8    12.97   15.26   -0.19   +1.14   -0.99   +1.15   all_stars
SA108          16:37:19.0   -00:14:22   60x60   9     9.06   12.69   +0.18   +1.43   +0.07   +1.84   all_stars_except_those_with_fewer_than_5_measures
PG1657+078     16:59:31.3   +07:43:04   15x15   6    14.03   16.16   -0.14   +1.07   -0.96   +0.73   all_stars_except_PG1657+078D
SA109          17:44:54.6   -00:15:48   60x60   8     9.33   14.64   +0.33   +1.74   +0.15   +1.97   all_stars_except_those_with_fewer_than_5_measures
#  SA109 SF1   17:45:31.2   -00:23:44   10x10   2     9.33   10.35   +0.61   +1.47   +0.23   +1.59   SA109_231,_537_
SA110          18:42:20.5   +00:11:05   60x60   39   10.03   16.25   +0.31   +2.53   -0.79   +4.36   all_stars_except_those_with_fewer_than_5_measures
#  SA110 SF1   18:41:02.7   +00:01:18   10x10   5    12.52   14.28   +0.73   +1.91   +0.15   +1.39   SA110_229,_230,_232,_233,_239
#  SA110 SF2   18:42:50.0   +00:05:47   10x10   8    12.02   16.25   +0.63   +2.53   +0.04   +3.92   SA110_360,_361,_362,_266,_L1,_364,_365,_273
