# Arlo U. Landolt
# UBVRI PHOTOMETRIC STANDARD STARS AROUND THE CELESTIAL EQUATOR: UPDATES AND ADDITIONS
# Astron.J.137:4186,2009
# https://arxiv.org/abs/0904.0638
#
# STAR       Star
# RA_2000    alpha (J2000.0)
# DEC_2000   delta (J2000.0)
# MAG_V      V
# MAG_BV     B-V
# MAG_UB     U-B
# MAG_VR     V-R
# MAG_RI     R-I
# MAG_VI     V-I
# NOB        number of observation
# NNI        number of nights
# ERR_V      mean error of V
# ERR_BV     mean error of B-V
# ERR_UB     mean error of U-B
# ERR_VR     mean error of V-R
# ERR_RI     mean error of R-I
# ERR_VI     mean error of V-I
FIELD_NAME      STAR	       RA_2000          DEC_2000        MAG_V    MAG_BV   MAG_UB   MAG_VR   MAG_RI   MAG_VI   NOB   NNI    ERR_V     ERR_BV    ERR_UB    ERR_VR	   ERR_RI    ERR_VI
TPhe            TPhe_I         00:30:04.593     -46:28:10.17    14.820   +0.764   +0.338   +0.422   +0.395   +0.817    25    13    0.0026    0.0032    0.0072    0.0036    0.0098    0.0110    
TPhe            TPhe_A         00:30:09.594     -46:31:28.91    14.651   +0.793   +0.380   +0.435   +0.405   +0.841    29    12    0.0028    0.0046    0.0071    0.0019    0.0035    0.0032    
TPhe            TPhe_H         00:30:09.683     -46:27:24.30    14.942   +0.740   +0.225   +0.425   +0.425   +0.851    23    12    0.0029    0.0029    0.0071    0.0035    0.0077    0.0098    
TPhe            TPhe_B         00:30:16.313     -46:27:58.57    12.334   +0.405   +0.156   +0.262   +0.271   +0.535    29    17    0.0115    0.0026    0.0039    0.0020    0.0019    0.0035    
TPhe            TPhe_C         00:30:16.98      -46:32:21.4     14.376   -0.298   -1.217   -0.148   -0.211   -0.360    39    23    0.0022    0.0024    0.0043    0.0038    0.0133    0.0149    
TPhe            TPhe_D         00:30:18.342     -46:31:19.85    13.118   +1.551   +1.871   +0.849   +0.810   +1.663    37    23    0.0033    0.0030    0.0118    0.0015    0.0023    0.0030    
TPhe            TPhe_E         00:30:19.768     -46:24:35.60    11.631   +0.443   -0.103   +0.276   +0.283   +0.564    38    10    0.0017    0.0013    0.0025    0.0007    0.0016    0.0020    
TPhe            TPhe_J         00:30:23.02      -46:23:51.6     13.434   +1.465   +1.229   +0.980   +1.063   +2.043    28    15    0.0023    0.0043    0.0059    0.0011    0.0015    0.0011    
TPhe            TPhe_F         00:30:49.820     -46:33:24.07    12.475   +0.853   +0.534   +0.492   +0.437   +0.929    19    10    0.0008    0.0024    0.0095    0.0005    0.0014    0.0029    
TPhe            TPhe_K         00:30:56.315     -46:23:26.04    12.935   +0.806   +0.402   +0.473   +0.429   +0.909     2     2    0.0007    0.0007    0.0163    0.0007    0.0001    0.0007    
TPhe            TPhe_G         00:31:04.303     -46:22:51.35    10.447   +1.545   +1.910   +0.934   +1.086   +2.025    20    10    0.0008    0.0011    0.0049    0.0008    0.0016    0.0017    
-               PG0029+024     00:31:42.20      +02:37:44.3     15.268   +0.362   -0.184   +0.251   +0.337   +0.593     5     2    0.0094    0.0174    0.0112    0.0161    0.0125    0.0067    
-               HD_2892        00:32:12.153     +01:11:17.28     9.360   +1.322   +1.414   +0.692   +0.628   +1.321    18    13    0.0026    0.0022    0.0018    0.0017    0.0021    0.0017    
-               BD_-15_115     00:38:20.261     -14:59:54.14    10.885   -0.199   -0.838   -0.095   -0.110   -0.204    15    12    0.0015    0.0014    0.0019    0.0017    0.0019    0.0028    
-               PG0039+049     00:42:06.121     +05:09:23.41    12.877   -0.019   -0.871   +0.067   +0.097   +0.164     4     3    0.0020    0.0030    0.0055    0.0035    0.0055    0.0045    
-               BD_-11_162     00:52:15.069     -10:39:46.09    11.184   -0.082   -1.115   +0.051   +0.092   +0.145    17    14    0.0015    0.0015    0.0031    0.0015    0.0014    0.0023    
SA92            92_309         00:53:14.047     +00:46:02.14    13.842   +0.513   -0.024   +0.326   +0.325   +0.652     2     1    0.0035    0.0057    0.0028    0.0014    0.0035    0.0014    
SA92            92_312         00:53:16.533     +00:48:28.90    10.598   +1.636   +1.992   +0.898   +0.906   +1.806     5     5    0.0014    0.0025    0.0061    0.0005    0.0006    0.0011    
SA92            92_322         00:53:46.962     +00:47:34.91    12.676   +0.528   -0.002   +0.302   +0.305   +0.608     2     1    0.0007    0.0049    0.0028    0.0014    0.0007    0.0007    
SA92            92_245         00:54:16.14      +00:39:54.6     13.818   +1.418   +1.189   +0.929   +0.907   +1.836    21     8    0.0028    0.0079    0.0301    0.0024    0.0024    0.0028    
SA92            92_248         00:54:30.77      +00:40:16.9     15.346   +1.128   +1.289   +0.690   +0.553   +1.245     4     2    0.0255    0.0160    0.0955    0.0215    0.0145    0.0175    
SA92            92_249         00:54:33.589     +00:41:05.39    14.325   +0.699   +0.240   +0.399   +0.370   +0.770    17     8    0.0049    0.0085    0.0114    0.0046    0.0065    0.0073    
SA92            92_250         00:54:37.154     +00:38:57.57    13.178   +0.814   +0.480   +0.446   +0.394   +0.840    20     9    0.0022    0.0034    0.0074    0.0022    0.0022    0.0029    
SA92            92_330         00:54:43.371     +00:43:26.09    15.073   +0.568   -0.115   +0.331   +0.334   +0.666     2     1    0.0141    0.0297    0.0163    0.0304    -         0.0304    
SA92            92_252         00:54:47.255     +00:39:24.55    14.932   +0.517   -0.140   +0.326   +0.332   +0.666    41    18    0.0033    0.0055    0.0082    0.0047    0.0072    0.0068    
SA92            92_253         00:54:51.364     +00:40:19.73    14.085   +1.131   +0.955   +0.719   +0.616   +1.337    39    17    0.0032    0.0062    0.0221    0.0027    0.0043    0.0050    
SA92            92_335         00:54:58.294     +00:44:00.63    12.523   +0.672   +0.208   +0.380   +0.338   +0.719     2     1    0.0007    0.0028    0.0049    -         0.0014    0.0014    
SA92            92_339         00:55:03.25      +00:44:11.0     15.579   +0.449   -0.177   +0.306   +0.339   +0.645    19     8    0.0087    0.0117    0.0126    0.0117    0.0197    0.0177    
SA92            92_342         00:55:09.905     +00:43:12.88    11.615   +0.435   -0.037   +0.265   +0.271   +0.537    73    59    0.0008    0.0006    0.0016    0.0007    0.0007    0.0012    
SA92            92_188         00:55:10.48      +00:23:09.2     14.751   +1.050   +0.751   +0.679   +0.573   +1.254    14     6    0.0096    0.0187    0.0551    0.0051    0.0043    0.0088    
SA92            92_409         00:55:11.977     +00:55:57.53    10.627   +1.138   +1.136   +0.734   +0.625   +1.361     5     3    0.0031    0.0027    0.0085    0.0022    0.0027    0.0018    
SA92            92_410         00:55:14.254     +01:01:51.05    14.984   +0.398   -0.134   +0.239   +0.242   +0.484    27    13    0.0058    0.0064    0.0083    0.0052    0.0102    0.0117    
SA92            92_412         00:55:15.666     +01:01:54.33    15.036   +0.457   -0.152   +0.285   +0.304   +0.589    27    13    0.0054    0.0077    0.0133    0.0069    0.0094    0.0106    
SA92            92_259         00:55:21.618     +00:40:31.00    14.997   +0.642   +0.108   +0.370   +0.452   +0.821     3     1    0.0115    0.0219    0.0214    0.0191    0.0202    0.0150    
SA92            92_345         00:55:23.753     +00:51:07.19    15.216   +0.745   +0.121   +0.465   +0.476   +0.941     2     1    0.0007    0.0014    0.0339    0.0057    0.0113    0.0057    
SA92            92_347         00:55:26.072     +00:50:48.86    15.752   +0.543   -0.097   +0.339   +0.318   +0.658     4     2    0.0255    0.0280    0.0355    0.0295    0.0755    0.0995    
SA92            92_348         00:55:29.457     +00:44:32.78    12.109   +0.598   +0.056   +0.345   +0.341   +0.688     4     2    0.0010    0.0015    0.0035    0.0015    0.0005    0.0020    
SA92            92_417         00:55:32.20      +00:53:07.3     15.922   +0.477   -0.185   +0.351   +0.305   +0.657     6     3    0.0127    0.0188    0.0318    0.0151    0.0678    0.0625    
SA92            92_260         00:55:32.938     +00:38:23.07    15.071   +1.162   +1.115   +0.719   +0.608   +1.328     9     4    0.0090    0.0093    0.0477    0.0070    0.0057    0.0080    
SA92            92_263         00:55:39.384     +00:36:19.50    11.782   +1.046   +0.844   +0.562   +0.521   +1.083    79    60    0.0008    0.0007    0.0018    0.0006    0.0006    0.0007    
SA92            92_497         00:55:54.346     +01:11:42.13    13.642   +0.729   +0.257   +0.404   +0.378   +0.783     1     1    -         -         -         -         -         -         
SA92            92_498         00:55:56.529     +01:10:40.86    14.408   +1.010   +0.794   +0.648   +0.531   +1.181     1     1    -         -         -         -         -         -         
SA92            92_500         00:55:57.986     +01:10:25.14    15.841   +1.003   +0.211   +0.738   +0.599   +1.338     1     1    -         -         -         -         -         -         
SA92            92_425         00:55:58.180     +00:52:58.49    13.941   +1.191   +1.173   +0.755   +0.627   +1.384    36    19    0.0038    0.0067    0.0115    0.0023    0.0027    0.0038    
SA92            92_426         00:55:59.594     +00:52:54.39    14.466   +0.729   +0.184   +0.412   +0.396   +0.809     8     4    0.0099    0.0131    0.0293    0.0078    0.0124    0.0120    
SA92            92_501         00:56:00.113     +01:10:51.22    12.958   +0.610   +0.068   +0.345   +0.331   +0.677     1     1    -         -         -         -         -         -         
SA92            92_355         00:56:05.678     +00:50:46.78    14.965   +1.164   +1.201   +0.759   +0.645   +1.406    15     7    0.0088    0.0124    0.0465    0.0070    0.0052    0.0090    
SA92            92_427         00:56:06.648     +01:00:20.83    14.953   +0.809   +0.352   +0.462   +2.922   +3.275     2     1    0.0021    0.0085    0.0233    0.0014    0.0113    0.0092    
SA92            92_502         00:56:08.126     +01:04:25.04    11.812   +0.486   -0.095   +0.284   +0.292   +0.576     1     1    -         -         -         -         -         -         
SA92            92_430         00:56:15.198     +00:53:18.20    14.440   +0.567   -0.040   +0.338   +0.338   +0.676    35    18    0.0041    0.0052    0.0081    0.0029    0.0049    0.0051    
